time_hrs,z1_m,z2_m,Ri_b,K_h_raw,K_h_eff,K_m_raw,K_m_eff,gated_active,STENCIL_DEGRADED
0.0,2.5,10.0,0.10916172106824926,0.013540980607971074,0.013540980607971074,0.013540980607971074,0.013540980607971074,False,True
0.06666666666666667,2.5,10.0,0.10358214145631256,0.015091559648154002,0.015091559648154002,0.015091559648154002,0.015091559648154002,False,True
0.13333333333333333,2.5,10.0,0.09871329049651156,0.016577915896311017,0.016577915896311017,0.016577915896311017,0.016577915896311017,False,True
0.2,2.5,10.0,0.09467723989464444,0.01792151673397691,0.01792151673397691,0.01792151673397691,0.01792151673397691,False,True
0.26666666666666666,2.5,10.0,0.09154407938032384,0.019051275535131727,0.019051275535131727,0.019051275535131727,0.019051275535131727,False,True
0.3333333333333333,2.5,10.0,0.08935151814047397,0.019906890265442866,0.019906890265442866,0.019906890265442866,0.019906890265442866,False,True
0.4,2.5,10.0,0.08812077772237527,0.020441245872997456,0.020441245872997456,0.020441245872997456,0.020441245872997456,False,True
0.4666666666666667,2.5,10.0,0.08786821404195179,0.0206220787804315,0.0206220787804315,0.0206220787804315,0.0206220787804315,False,True
0.5333333333333333,2.5,10.0,0.08861286901229504,0.020433083534060467,0.020433083534060467,0.020433083534060467,0.020433083534060467,False,True
0.6,2.5,10.0,0.09038030862978728,0.01987458537405635,0.01987458537405635,0.01987458537405635,0.01987458537405635,False,True
0.6666666666666666,2.5,10.0,0.09320290372695628,0.018963836499787095,0.018963836499787095,0.018963836499787095,0.018963836499787095,False,True
0.7333333333333333,2.5,10.0,0.09711633684766896,0.01773492173496538,0.01773492173496538,0.01773492173496538,0.01773492173496538,False,True
0.8,2.5,10.0,0.10215171653331852,0.01623817197644604,0.01623817197644604,0.01623817197644604,0.01623817197644604,False,True
0.8666666666666667,2.5,10.0,0.10832240533503974,0.014538872498402085,0.014538872498402085,0.014538872498402085,0.014538872498402085,False,True
0.9333333333333333,2.5,10.0,0.1156047530961145,0.012714926150844854,0.012714926150844854,0.012714926150844854,0.012714926150844854,False,True
1.0,2.5,10.0,0.12391272042797621,0.010853036079700439,0.010853036079700439,0.010853036079700439,0.010853036079700439,False,True
1.0666666666666667,2.5,10.0,0.13306829552861635,0.009043016564109014,0.009043016564109014,0.009043016564109014,0.009043016564109014,False,True
1.1333333333333333,2.5,10.0,0.14277290516520708,0.0073701871207783876,0.0073701871207783876,0.0073701871207783876,0.0073701871207783876,False,True
1.2,2.5,10.0,0.1525892926336522,0.005906592670085375,0.005906592670085375,0.005906592670085375,0.005906592670085375,False,True
1.2666666666666666,2.5,10.0,0.16194687259894502,0.004702940906479985,0.004702940906479985,0.004702940906479985,0.004702940906479985,False,True
